ID,SMILES,log(1o2),E(N) (Hartree),E(N+1) (Hartree),E(N-1) (Hartree),E-HOMO(N) (eV),E-HOMO(N+1) (eV),E-HOMO(N-1) (eV),Vertical IP (eV),Vertical EA (eV),Mulliken electronegativity (eV),Chemical potential (eV),Hardness (eV),Softness ( eV^-1),Electrophilicity index ( eV),Nucleophilicity index (eV),f-(max),f+(max),f0(max),CDD(min),S-(max),S+(max),S0(max),Electrophilicity(max),Nucleophilicity(max),smiles_original,smiles_canonical_rdkit,smiles_kekule_rdkit,inchikey_rdkit,smiles_status,dup_count,is_duplicate
"1,3,5-Trimethoxybenzene",COC1=CC(=CC(=C1)OC)OC,6.698970004,-575.829621,-575.734598,-575.552578,-5.632947433,4.487375283,-10.58052168,7.53872408,-2.585707555,2.476508262,-2.476508262,10.12443163,0.098770896,0.30288994,3.488254814,0.1288,0.1242,0.1106,-0.0613,0.346,0.3338,0.2973,0.03761,0.44912,COC1=CC(=CC(=C1)OC)OC,COc1cc(OC)cc(OC)c1,COC1=CC(OC)=CC(OC)=C1,LKUDPHPHKOZXCD-UHFFFAOYSA-N,OK,1,FALSE
"1,3-Benzenediol-4-chloro",CC1=CC(=CC(=C1Cl)O)O,7.322219295,-842.293913,-842.226997,-841.998782,-5.990532259,3.897976657,-12.04389561,8.030923634,-1.820849911,3.105036862,-3.105036862,9.851773545,0.101504494,0.489315147,3.130669988,0.1755,0.15,0.1422,-0.0666,0.4848,0.4142,0.3928,0.07338,0.54948,CC1=CC(=CC(=C1Cl)O)O,Cc1cc(O)cc(O)c1Cl,CC1=CC(O)=CC(O)=C1Cl,VYGLBTZLOQTMBG-UHFFFAOYSA-N,OK,1,FALSE
"1,4-Benzenediol-chloro",C1=CC(=C(C=C1O)Cl)O,7.230448921,-842.286049,-842.227409,-841.999008,-5.740895002,3.650162562,-11.87289926,7.810783519,-1.595675689,3.107540309,-3.107540309,9.40648642,0.106309762,0.51331559,3.380307245,0.1434,0.1348,0.1391,-0.0704,0.4149,0.3899,0.4024,0.06919,0.4848,C1=CC(=C(C=C1O)Cl)O,Oc1ccc(O)c(Cl)c1,OC1=CC(Cl)=C(O)C=C1,AJPXTSMULZANCB-UHFFFAOYSA-N,OK,1,FALSE
"1,4-Diazabicyclo [2.2.2] octane",C1CN2CCN1CC2,8.447158031,-345.341898,-345.210471,-345.07771,-5.055712296,5.321948499,-11.77793152,7.18892171,-3.57631086,1.80631903,-1.80631903,10.76523257,0.092891629,0.15154021,4.065489951,0.1333,0.0568,0.0814,-0.1038,0.337,0.1435,0.2057,0.0086,0.54195,C1CN2CCN1CC2,C1CN2CCN1CC2,C1CN2CCN1CC2,IMNIMPAHZVJRPE-UHFFFAOYSA-N,OK,1,FALSE
"1,4-Dihydroxybenzene",C1=CC(=CC=C1O)O,7.579783597,-382.694208,-382.619336,-382.413603,-5.452046137,4.18815888,-11.91918583,7.635651038,-2.037398122,2.799126458,-2.799126458,9.67304916,0.103380033,0.404987061,3.66915611,0.1226,0.1262,0.1022,-0.078,0.3449,0.3549,0.2876,0.0511,0.4498,C1=CC(=CC=C1O)O,Oc1ccc(O)cc1,OC1=CC=C(O)C=C1,QIGBRXMKCJKVMJ-UHFFFAOYSA-N,OK,1,FALSE
"1,4-Dimethoxybenzene",COC1=CC=C(C=C1)OC,6.698970004,-461.30137,-461.226447,-461.033916,-5.302084187,4.057244901,-11.24869727,7.277794097,-2.038758692,2.619531308,-2.619531308,9.316525577,0.107336134,0.36825169,3.81911806,0.0998,0.128,0.101,-0.0755,0.2914,0.3738,0.295,0.04713,0.38108,COC1=CC=C(C=C1)OC,COc1ccc(OC)cc1,COC1=CC=C(OC)C=C1,OHBQPCCCRFSCAX-UHFFFAOYSA-N,OK,1,FALSE
"1,4-Dioxene",C1COC=CO1,5.342422681,-306.439036,-306.305227,-306.144162,-5.469624692,5.877142413,-13.33855894,8.023957519,-3.641128382,2.191414569,-2.191414569,11.6650859,0.085725952,0.205826926,3.651577555,0.1669,0.1781,0.1725,-0.0805,0.3893,0.4155,0.4024,0.03667,0.60937,C1COC=CO1,C1=COCCO1,C1=COCCO1,HIZVCIIORGCREW-UHFFFAOYSA-N,OK,1,FALSE
1-Butanol,CCCCO,3.716003344,-233.678088,-233.523938,-233.315846,-7.105627656,5.993443878,-13.90142647,9.857079765,-4.19463519,2.831235893,-2.831235893,14.05171495,0.07116565,0.285229751,2.015574591,0.3132,0.2286,0.2118,-0.2028,0.6066,0.4426,0.4102,0.06519,0.63134,CCCCO,CCCCO,CCCCO,LRHPLDYGYMQRHN-UHFFFAOYSA-N,OK,1,FALSE
1-Methylindole,CN1C=CC2=CC=CC=C21,4,-403.137958,-403.071333,-402.872877,-5.284696111,3.698462773,-10.98523663,7.213221477,-1.812958609,2.700131434,-2.700131434,9.026180086,0.110788843,0.403871395,3.836506135,0.1274,0.112,0.0988,-0.0641,0.3841,0.3376,0.2979,0.04523,0.48874,CN1C=CC2=CC=CC=C21,Cn1ccc2ccccc21,CN1C=CC2=CC=CC=C21,BLRHMMGNCXNXJL-UHFFFAOYSA-N,OK,1,FALSE
1-Naphthol,C1=CC=C2C(=C1)C=CC=C2O,5.698970004,-461.118732,-461.086337,-460.848292,-5.476101002,2.72162843,-11.03144156,7.359047296,-0.881485646,3.238780825,-3.238780825,8.240532942,0.12135126,0.636474324,3.645101245,0.1066,0.0959,0.0882,-0.0413,0.3521,0.3166,0.2912,0.06101,0.3887,C1=CC=C2C(=C1)C=CC=C2O,Oc1cccc2ccccc12,OC1=CC=CC2=CC=CC=C12,KJCVRFUGPWSIIH-UHFFFAOYSA-N,OK,1,FALSE
1-Pentene,CCCC=C,3,-196.546446,-196.433222,-196.204889,-6.782383599,5.411936554,-13.64542175,9.294212241,-3.080981996,3.106615122,-3.106615122,12.37519424,0.080806835,0.389939165,2.338818648,0.2483,0.2344,0.2413,-0.0139,0.546,0.5154,0.5307,0.09139,0.58076,CCCC=C,C=CCCC,C=CCCC,YWAKXRMUMFPDSH-UHFFFAOYSA-N,OK,1,FALSE
"2,2,6,6-tetramethylpiperidin-4-ol",CC1(CC(CC(N1)(C)C)O)C,7.602059991,-484.396419,-484.274251,-484.099697,-5.950858058,4.850184696,-11.45844263,8.07421695,-3.324360635,2.374928157,-2.374928157,11.39857758,0.087730334,0.247405924,3.170344189,0.2462,0.0702,0.1365,-0.2195,0.5878,0.1677,0.3258,0.01738,0.78068,CC1(CC(CC(N1)(C)C)O)C,CC1(C)CC(O)CC(C)(C)N1,CC1(C)CC(O)CC(C)(C)N1,VDVUCLWJZJHFAV-UHFFFAOYSA-N,OK,1,FALSE
"2,3,5-trichlorophenol",C1=C(C=C(C(=C1O)Cl)Cl)Cl,5.904779228,-1686.249986,-1686.216651,-1685.934903,-6.672912192,2.805303442,-11.91428778,8.573845213,-0.907091561,3.833376826,-3.833376826,9.480936773,0.105474965,0.77498028,2.448290055,0.1908,0.1288,0.1581,-0.0654,0.5476,0.3698,0.4538,0.09984,0.46711,C1=C(C=C(C(=C1O)Cl)Cl)Cl,Oc1cc(Cl)cc(Cl)c1Cl,OC1=C(Cl)C(Cl)=CC(Cl)=C1,WWGQHTJIFOQAOC-UHFFFAOYSA-N,OK,1,FALSE
"2,3-Dimethylindole",CC1=C(NC2=CC=CC=C12)C,8.755874856,-442.469259,-442.401856,-442.212689,-5.126815648,3.636937829,-10.63137976,6.981625369,-1.834129067,2.573761757,-2.573761757,8.815754436,0.113433324,0.37570761,3.994386598,0.1061,0.1037,0.0905,-0.0609,0.3273,0.3202,0.2795,0.03897,0.42361,CC1=C(NC2=CC=CC=C12)C,Cc1[nH]c2ccccc2c1C,CC1=C(C)C2=CC=CC=C2N1,PYFVEIDRTLBMHG-UHFFFAOYSA-N,OK,1,FALSE
"2,4,6-tribromophenol",C1=C(C=C(C(=C1Br)O)Br)Br,7.175219046,-8021.037387,-8021.015318,-8020.734894,-6.423410992,2.297076381,-11.55716554,8.23125386,-0.600528083,3.815362888,-3.815362888,8.831754731,0.113227675,0.824124044,2.697791255,0.2144,0.243,0.2065,-0.0627,0.6606,0.7487,0.6364,0.20026,0.57842,C1=C(C=C(C(=C1Br)O)Br)Br,Oc1c(Br)cc(Br)cc1Br,OC1=C(Br)C=C(Br)C=C1Br,BSWWXRFVMJHFBN-UHFFFAOYSA-N,OK,1,FALSE
"2,4,6-trichlorophenol",C1=C(C=C(C(=C1Cl)O)Cl)Cl,7.688289018,-1686.254996,-1686.223769,-1685.943027,-6.579005698,2.772568145,-12.13497212,8.489136167,-0.849729958,3.819689499,-3.819689499,9.338866125,0.10707944,0.781157265,2.542196549,0.1809,0.1289,0.1381,-0.0857,0.5271,0.3757,0.4023,0.10071,0.45991,C1=C(C=C(C(=C1Cl)O)Cl)Cl,Oc1c(Cl)cc(Cl)cc1Cl,OC1=C(Cl)C=C(Cl)C=C1Cl,LINPIYWFGCPVIE-UHFFFAOYSA-N,OK,1,FALSE
"2,4,6-trimethylphenol",CC1=CC(=C(C(=C1)C)O)C,7.641650625,-425.435883,-425.355689,-425.159851,-5.536238166,4.09098702,-11.50872928,7.511213368,-2.182189909,2.66451173,-2.66451173,9.693403277,0.103162991,0.366210836,3.584964081,0.1154,0.1226,0.0856,-0.0781,0.3239,0.3441,0.2402,0.04489,0.41369,CC1=CC(=C(C(=C1)C)O)C,Cc1cc(C)c(O)c(C)c1,CC1=CC(C)=C(O)C(C)=C1,BPRYUXCVCCNUFE-UHFFFAOYSA-N,OK,1,FALSE
"2,4-Dichlorophenol",C1=CC(=C(C=C1Cl)Cl)O,6.447158031,-1226.660958,-1226.615582,-1226.355369,-6.33543658,3.240603988,-12.17159865,8.315500312,-1.234743862,3.54039183,-3.54039183,9.550244174,0.104709439,0.656229791,2.785765667,0.187,0.1323,0.1432,-0.0875,0.5328,0.3769,0.4081,0.08679,0.52088,C1=CC(=C(C=C1Cl)Cl)O,Oc1ccc(Cl)cc1Cl,OC1=C(Cl)C=C(Cl)C=C1,HFZWRUODUSTPEG-UHFFFAOYSA-N,OK,1,FALSE
"2,4-Dimethylphenol",CC1=CC(=C(C=C1)O)C,6.361727836,-386.11627,-386.036674,-385.834049,-5.640811523,4.166525828,-11.85001448,7.679624638,-2.1659175,2.756839963,-2.756839963,9.845542137,0.101568806,0.385966303,3.480390724,0.1196,0.1237,0.093,-0.0805,0.3305,0.3419,0.257,0.04775,0.41625,CC1=CC(=C(C=C1)O)C,Cc1ccc(O)c(C)c1,CC1=CC(C)=C(O)C=C1,KUFFULVDNCHOFZ-UHFFFAOYSA-N,OK,1,FALSE
"2,4-Dinitrophenol",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,5.60206,-716.467069,-716.504499,-716.10971,-7.723761506,0.863090749,-12.51663902,9.724206566,1.018549399,5.371391588,-5.371391588,8.705657168,0.114867687,1.657064577,1.397440741,0.1286,0.1041,0.0912,-0.0796,0.4019,0.3252,0.2849,0.17242,0.17967,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,O=[N+]([O-])C1=CC([N+](=O)[O-])=C(O)C=C1,UFBJCMHMOXMLKC-UHFFFAOYSA-N,OK,1,FALSE
"2,5-Dimethylfuran",CC1=CC=C(O1)C,9.079181246,-308.675018,-308.573295,-308.390593,-5.505979104,4.852388818,-12.44458327,7.739598533,-2.767996632,2.485787345,-2.485787345,10.50759516,0.095169168,0.29404624,3.615223142,0.1381,0.1145,0.1263,-0.0236,0.3576,0.2965,0.327,0.03366,0.49916,CC1=CC=C(O1)C,Cc1ccc(C)o1,CC1=CC=C(C)O1,GSNUFIFRDBKVIE-UHFFFAOYSA-N,OK,1,FALSE
"2,6-Dimethoxyphenol",COC1=C(C(=CC=C1)OC)O,7.556302501,-536.520173,-536.428544,-536.252537,-5.290845885,4.462912247,-10.92349399,7.282719358,-2.493324899,2.394710835,-2.394710835,9.776071468,0.102290709,0.293284321,3.830356362,0.1224,0.1433,0.1222,-0.051,0.3406,0.3988,0.3401,0.04202,0.46867,COC1=C(C(=CC=C1)OC)O,COc1cccc(OC)c1O,COC1=C(O)C(OC)=CC=C1,KLIDCXVFHGNTTM-UHFFFAOYSA-N,OK,1,FALSE
"2,6-Dimethylphenol",CC1=C(C(=CC=C1)C)O,6.707570176,-386.116496,-386.034174,-385.83001,-5.727724691,4.219696877,-11.74337306,7.7956812,-2.240095739,2.777792731,-2.777792731,10.03574973,0.099643692,0.384442465,3.393477556,0.1298,0.1181,0.0921,-0.0868,0.352,0.3201,0.2497,0.04539,0.44048,CC1=C(C(=CC=C1)C)O,Cc1cccc(C)c1O,CC1=C(O)C(C)=CC=C1,NXXYKOUNUYWIHA-UHFFFAOYSA-N,OK,1,FALSE
2-Benzylphenol,C1=CC=C(C=C1)CC2=CC=CC=C2O,7.639486489,-577.848237,-577.792993,-577.567833,-5.890530415,3.105717146,-10.23205267,7.63020876,-1.503293033,3.063457864,-3.063457864,9.133474582,0.109487292,0.513750972,3.230671832,0.0857,0.0792,0.0714,-0.0532,0.2553,0.236,0.2128,0.0407,0.27685,C1=CC=C(C=C1)CC2=CC=CC=C2O,Oc1ccccc1Cc1ccccc1,OC1=CC=CC=C1CC1=CC=CC=C1,CDMGNVWZXRKJNS-UHFFFAOYSA-N,OK,1,FALSE
2-Butanol,CCC(C)O,3.716003344,-233.683483,-233.541038,-233.319396,-7.12551918,5.756024533,-14.16224761,9.907284773,-3.876098702,3.015593035,-3.015593035,13.78341069,0.07255099,0.329883635,1.995683067,0.3154,0.2148,0.2056,-0.2195,0.6227,0.4241,0.406,0.07087,0.62946,CCC(C)O,CCC(C)O,CCC(C)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,OK,1,FALSE
2-Chlorophenol,C1=CC=C(C(=C1)O)Cl,6.95904,-767.072885,-767.01053,-766.764399,-6.272278952,3.780423468,-12.41987533,8.394331697,-1.696765989,3.34879646,-3.34879646,10.0911249,0.099097046,0.555656507,2.848923294,0.1576,0.1291,0.1434,-0.0897,0.425,0.3482,0.3866,0.07175,0.44899,C1=CC=C(C(=C1)O)Cl,Oc1ccccc1Cl,OC1=CC=CC=C1Cl,ISPYQTSUDJAMAB-UHFFFAOYSA-N,OK,1,FALSE
2-Methoxyphenol,COC1=CC=CC=C1O,6.77815125,-422.002025,-421.915121,-421.721116,-5.550632989,4.456653628,-11.86775631,7.643923299,-2.36477831,2.639558889,-2.639558889,10.00872882,0.099912881,0.348060841,3.570569258,0.1206,0.139,0.098,-0.0677,0.3278,0.3778,0.2663,0.04836,0.4305,COC1=CC=CC=C1O,COc1ccccc1O,COC1=CC=CC=C1O,LHGVFZTZFXWLCP-UHFFFAOYSA-N,OK,1,FALSE
2-Methylfuran,CC1=CC=CO1,7.77815125,-269.350127,-269.246129,-269.049442,-5.802447158,5.080012064,-13.22133229,8.182055673,-2.829929747,2.676076569,-2.676076569,11.01201263,0.090809964,0.325148854,3.318755089,0.1797,0.1566,0.1682,-0.0248,0.4442,0.3869,0.4155,0.05091,0.59653,CC1=CC=CO1,Cc1ccco1,CC1=CC=CO1,VQKFNUFAXTZWDK-UHFFFAOYSA-N,OK,1,FALSE
2-Naphthol,C1=CC=C2C=C(C=CC2=C1)O,5,-461.120631,-461.088306,-460.848916,-5.533299336,2.711614639,-11.08110234,7.393741814,-0.87960806,3.257066877,-3.257066877,8.273349874,0.120870064,0.641127471,3.587902911,0.1012,0.0906,0.0883,-0.0432,0.3328,0.298,0.2904,0.0581,0.36304,C1=CC=C2C=C(C=CC2=C1)O,Oc1ccc2ccccc2c1,OC1=CC2=CC=CC=C2C=C1,JWAZRIHNYRIHIV-UHFFFAOYSA-N,OK,1,FALSE
2-Nitro-4-chlorophenolate,C1=CC(=C(C=C1Cl)[N+](=O)[O-])O,7.322219295,-971.579054,-971.612476,-971.253583,-6.874929524,1.177627163,-12.77980034,8.856489881,0.909458951,4.882974416,-4.882974416,7.94703093,0.125832987,1.500136512,2.246272723,0.2079,0.1647,0.1465,-0.1227,0.7118,0.5638,0.5017,0.24701,0.46694,C1=CC(=C(C=C1Cl)[N+](=O)[O-])O,O=[N+]([O-])c1cc(Cl)ccc1O,O=[N+]([O-])C1=C(O)C=CC(Cl)=C1,NWSIFTLPLKCTSX-UHFFFAOYSA-N,OK,1,FALSE
2-Nitrophenol,C1=CC=C(C(=C1)[N+](=O)[O-])O,6.113943352,-511.968534,-511.973232,-511.637366,-6.888916176,1.973696267,-12.11140706,9.01154036,0.127839093,4.569689726,-4.569689726,8.883701268,0.112565636,1.175314195,2.232286071,0.1386,0.1585,0.1112,-0.0971,0.4245,0.4854,0.3405,0.18625,0.30938,C1=CC=C(C(=C1)[N+](=O)[O-])O,O=[N+]([O-])c1ccccc1O,O=[N+]([O-])C1=CC=CC=C1O,IQUPABOKLQSFBK-UHFFFAOYSA-N,OK,1,FALSE
"3,4-Dihydroxyphenylalanine",C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,8.954242509,-705.25025,-705.187026,-704.972579,-5.681410912,3.47815939,-10.50359509,7.555785619,-1.720412684,2.917686467,-2.917686467,9.276198303,0.107802814,0.458865606,3.439791335,0.0892,0.095,0.0686,-0.062,0.2617,0.2787,0.2012,0.04359,0.30687,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,N[C@@H](CC1=CC(O)=C(O)C=C1)C(=O)O,WTDRDQBEARUVNC-LURJTMIESA-N,OK,1,FALSE
3-Butenoic_acid,C=CCC(=O)O,3.602059991,-306.483866,-306.391884,-306.134203,-7.133927498,4.729284507,-13.0440229,9.514787738,-2.50295773,3.505915004,-3.505915004,12.01774547,0.083210241,0.511383582,1.987274749,0.1919,0.1579,0.1749,-0.034,0.4345,0.3576,0.396,0.08076,0.3813,C=CCC(=O)O,C=CCC(=O)O,C=CCC(=O)O,PVEOYINWKBTPIZ-UHFFFAOYSA-N,OK,1,FALSE
3-Chlorophenol,C1=CC(=CC(=C1)Cl)O,8.041392685,-767.071038,-767.00956,-766.762328,-6.305177518,3.747851439,-12.32052656,8.400427048,-1.672928815,3.363762722,-3.363762722,10.07335586,0.099271826,0.561615801,2.816024728,0.1673,0.1384,0.1529,-0.0769,0.452,0.3738,0.4129,0.07772,0.47116,C1=CC(=CC(=C1)Cl)O,Oc1cccc(Cl)c1,OC1=CC(Cl)=CC=C1,HORNXRXVQWOLPJ-UHFFFAOYSA-N,OK,1,FALSE
3-Cyanopyrrole,C1=CNC=C1C#N,7.531478917,-302.421908,-302.348609,-302.104231,-6.391165499,4.202553703,-13.00257996,8.64445876,-1.9945674,3.324932074,-3.324932074,10.63902616,0.093993631,0.519546998,2.730036748,0.1733,0.2025,0.1879,-0.081,0.4433,0.5178,0.4806,0.10519,0.4732,C1=CNC=C1C#N,N#Cc1cc[nH]c1,N#CC1=CNC=C1,PCYWMDGJYQAMCR-UHFFFAOYSA-N,OK,1,FALSE
3-Hexene,CCC=CCC,4.491361694,-235.867474,-235.760044,-235.546896,-6.414784982,4.97688091,-13.57951577,8.72337178,-2.923319224,2.900026278,-2.900026278,11.646691,0.08586141,0.361040673,2.706417265,0.1875,0.1644,0.1759,-0.023,0.438,0.3841,0.411,0.05936,0.50733,CCC=CCC,CCC=CCC,CCC=CCC,ZQDPJFUHLCOCRG-UHFFFAOYSA-N,OK,1,FALSE
3-Methoxyphenol,COC1=CC=CC(=C1)O,8.447158031,-422.000889,-421.918566,-421.713793,-5.752078882,4.306610044,-11.59082603,7.812280146,-2.24012295,2.786064992,-2.786064992,10.05243031,0.099478541,0.386075148,3.369123365,0.1356,0.1481,0.1142,-0.0633,0.3671,0.401,0.3091,0.05719,0.45686,COC1=CC=CC(=C1)O,COc1cccc(O)c1,COC1=CC=CC(O)=C1,ASHGTJPOSUFTGB-UHFFFAOYSA-N,OK,1,FALSE
