E(N) (Hartree),E(N+1) (Hartree),E(N-1) (Hartree),E-HOMO(N) (eV),E-HOMO(N+1) (eV),E-HOMO(N-1) (eV),Vertical IP (eV),Vertical EA (eV),Mulliken electronegativity (eV),Chemical potential (eV),Hardness (eV),Softness ( eV^-1),Electrophilicity index ( eV),Nucleophilicity index (eV),f-(max),f+(max),f0(max),CDD(min),S-(max),S+(max),S0(max),Electrophilicity(max),Nucleophilicity(max),Target_Log1o2,SMILES_Meta
-2750.212097,-2750.204043,-2749.908695,-6.618380574,2.026622413,-10.73788513,8.25598901,-0.219187716,4.018414252,-4.018414252,8.475176726,0.11799171,0.952643421,2.502821673,0.2516,0.1343,0.1494,-0.2043,0.8077,0.4313,0.4797,0.12796,0.62964,6.278753601,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl
-287.613641,-287.528,-287.334615,-5.42698445,4.454966522,-12.07758331,7.59271147,-2.330437541,2.63115057,-2.63115057,9.9231218,0.100774653,0.34882276,3.694217797,0.1611,0.126,0.1001,-0.1221,0.4418,0.3455,0.2744,0.04395,0.59521,9.301029996,C1=CC=C(C=C1)N
-1559.739993,-1559.705054,-1559.459972,-6.01823345,2.320124425,-9.706437531,7.619786799,-0.950738624,3.334510482,-3.334510482,8.570525423,0.116678951,0.648665025,3.102968796,0.0933,0.072,0.0826,-0.0489,0.2961,0.2287,0.2624,0.04672,0.2894,4.612783857,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C
-670.349405,-670.292473,-670.085608,-5.326900972,3.111758074,-9.918767978,7.178282058,-1.549198642,2.814555314,-2.814555314,8.727480699,0.114580491,0.4538315,3.794301275,0.1053,0.0846,0.0888,-0.0711,0.3284,0.2639,0.2769,0.03841,0.39967,7.857332496,C1=CC=C2C(=C1)C(=CN2)CCCC(=O)O
-1454.127689,-1454.083096,-1453.843856,-6.033090867,2.905903937,-10.61902579,7.723462181,-1.213437347,3.255026023,-3.255026023,8.936899528,0.111895659,0.592772838,3.08811138,0.1485,0.1114,0.13,-0.0646,0.4523,0.3391,0.3957,0.06601,0.45872,5.462397998,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl
-399.720208,-399.687064,-399.402954,-6.581155398,2.919155882,-12.7417044,8.632921132,-0.901894186,3.865513473,-3.865513473,9.534788106,0.104878964,0.783551867,2.540046849,0.164,0.1735,0.1687,-0.054,0.468,0.4951,0.4815,0.13594,0.41649,5.90956,C1=CC(=CC=C1C#N)O
-971.579054,-971.612476,-971.253583,-6.874929524,1.177627163,-12.77980034,8.856489881,0.909458951,4.882974416,-4.882974416,7.94703093,0.125832987,1.500136512,2.246272723,0.2079,0.1647,0.1465,-0.1227,0.7118,0.5638,0.5017,0.24701,0.46694,7.322219295,C1=CC(=C(C=C1Cl)[N+](=O)[O-])O
-1686.254996,-1686.223769,-1685.943027,-6.579005698,2.772568145,-12.13497212,8.489136167,-0.849729958,3.819689499,-3.819689499,9.338866125,0.10707944,0.781157265,2.542196549,0.1809,0.1289,0.1381,-0.0857,0.5271,0.3757,0.4023,0.10071,0.45991,7.688289018,C1=C(C=C(C(=C1Cl)O)Cl)Cl
-306.483866,-306.391884,-306.134203,-7.133927498,4.729284507,-13.0440229,9.514787738,-2.50295773,3.505915004,-3.505915004,12.01774547,0.083210241,0.511383582,1.987274749,0.1919,0.1579,0.1749,-0.034,0.4345,0.3576,0.396,0.08076,0.3813,3.602059991,C=CCC(=O)O
-1233.280203,-1233.277798,-1232.962782,-6.811173246,1.630968857,-10.87181957,8.637492645,-0.065443384,4.286011025,-4.286011025,8.702936029,0.114903848,1.055393616,2.310029001,0.1391,0.0996,0.1178,-0.0589,0.4351,0.3115,0.3683,0.10516,0.32143,6.740362689,C1CN(/C(=N/[N+](=O)[O-])/N1)CC2=CN=C(C=C2)Cl
-842.286049,-842.227409,-841.999008,-5.740895002,3.650162562,-11.87289926,7.810783519,-1.595675689,3.107540309,-3.107540309,9.40648642,0.106309762,0.51331559,3.380307245,0.1434,0.1348,0.1391,-0.0704,0.4149,0.3899,0.4024,0.06919,0.4848,7.230448921,C1=CC(=C(C=C1O)Cl)O
-234.659422,-234.544695,-234.337688,-6.349613712,5.306438009,-13.73557307,8.754828142,-3.12188071,2.816460111,-2.816460111,11.87670885,0.084198393,0.333965343,2.771588535,0.1979,0.1786,0.1882,-0.0193,0.4534,0.4092,0.4313,0.05964,0.54849,4.431363764,C1CCC=CC1
-1383.750347,-1383.725143,-1383.4724,-6.078016866,2.196040504,-9.881978184,7.563323173,-0.685835779,3.438730091,-3.438730091,8.249158952,0.121224658,0.716747914,3.043185381,0.0833,0.072,0.0652,-0.0618,0.2748,0.2374,0.2149,0.05159,0.25354,8.190331698,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC
-548.77755,-548.704426,-548.481794,-5.983974315,3.957297479,-11.55847169,8.047930751,-1.989805408,3.029062671,-3.029062671,10.03773616,0.099624105,0.457042443,3.137227932,0.1255,0.1508,0.1013,-0.0865,0.3403,0.4089,0.2745,0.06893,0.3938,7.785329835,C1=C(NC=N1)C[C@@H](C(=O)O)N
-269.350127,-269.246129,-269.049442,-5.802447158,5.080012064,-13.22133229,8.182055673,-2.829929747,2.676076569,-2.676076569,11.01201263,0.090809964,0.325148854,3.318755089,0.1797,0.1566,0.1682,-0.0248,0.4442,0.3869,0.4155,0.05091,0.59653,7.77815125,CC1=CC=CO1
-867.067422,-866.988071,-866.803123,-5.477298303,3.868724417,-9.458051997,7.191914962,-2.159223499,2.516345732,-2.516345732,9.351138461,0.10693869,0.338564068,3.643903944,0.0847,0.1169,0.086,-0.0654,0.2465,0.3401,0.2501,0.03957,0.30862,7.0,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
-346.79615,-346.718101,-346.500805,-5.88612217,4.176893366,-12.10898525,8.036774082,-2.123821485,2.956462693,-2.956462693,10.16059557,0.098419536,0.430130382,3.235080077,0.1417,0.1212,0.1044,-0.0926,0.3794,0.3245,0.2796,0.05211,0.45836,7.255272505,CC1=CC(=CC=C1)O
-842.293913,-842.226997,-841.998782,-5.990532259,3.897976657,-12.04389561,8.030923634,-1.820849911,3.105036862,-3.105036862,9.851773545,0.101504494,0.489315147,3.130669988,0.1755,0.15,0.1422,-0.0666,0.4848,0.4142,0.3928,0.07338,0.54948,7.322219295,CC1=CC(=CC(=C1Cl)O)O
-1215.012041,-1214.990864,-1214.726301,-6.19842725,2.145536171,-9.833215379,7.775354295,-0.576255527,3.599549384,-3.599549384,8.351609821,0.119737266,0.775714988,2.922774997,0.0958,0.0799,0.0743,-0.0429,0.3121,0.2604,0.2421,0.062,0.27995,8.85672889,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N
-556.654246,-556.542922,-556.348902,-5.797603531,4.975819666,-14.00902029,8.308833522,-3.029280362,2.63977658,-2.63977658,11.33811388,0.088198116,0.307298185,3.323598716,0.5142,0.2887,0.4015,-0.2255,1.2341,0.6929,0.9635,0.08872,1.70905,7.255272505,CCSCC
-326.921225,-326.836068,-326.653531,-5.244885853,4.380543381,-11.623262,7.28432483,-2.317240019,2.4835288,-2.4835288,9.601564848,0.104149637,0.321203203,3.876316394,0.1511,0.1328,0.1014,-0.1254,0.4282,0.3765,0.2874,0.04267,0.58573,8.617000341,CNC1=CC=CC=C1
-386.116496,-386.034174,-385.83001,-5.727724691,4.219696877,-11.74337306,7.7956812,-2.240095739,2.777792731,-2.777792731,10.03574973,0.099643692,0.384442465,3.393477556,0.1298,0.1181,0.0921,-0.0868,0.352,0.3201,0.2497,0.04539,0.44048,6.707570176,CC1=C(C(=CC=C1)C)O
-756.789799,-756.733244,-756.501926,-6.017144995,3.337367678,-10.12345203,7.833423393,-1.538967161,3.147241722,-3.147241722,9.372363342,0.106696549,0.52841791,3.104057252,0.1088,0.1389,0.0853,-0.0914,0.3159,0.4033,0.2476,0.07341,0.33778,7.919078092,C1=C(NC=N1)CC(C(=O)O)NC(=O)CN
-2803.443108,-2803.37971,-2803.124508,-6.570733437,3.813811839,-12.57040872,8.669547658,-1.725147465,3.472200096,-3.472200096,10.39472233,0.096202743,0.579929064,2.55046881,0.3222,0.1272,0.2247,-0.195,0.8436,0.333,0.5883,0.07377,0.82188,3.301029996,C1=CC=C(C=C1)Br
-850.851769,-850.78237,-850.576536,-5.654934233,3.659251165,-9.591959229,7.489471471,-1.888415783,2.800514238,-2.800514238,9.377887253,0.106633891,0.418157372,3.466268014,0.1068,0.106,0.087,-0.0693,0.31,0.3074,0.2524,0.0443,0.37029,7.0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
-548.228106,-548.131223,-547.932454,-5.342003291,5.044093034,-12.87640076,8.045073555,-2.636293522,2.704376411,-2.704376411,10.68136708,0.093620883,0.34234645,3.779198956,0.6444,0.3509,0.4976,-0.2936,1.6417,0.8938,1.2677,0.12012,2.43533,6.643452676,C(=S)(N)N
-1047.306087,-1047.246209,-1047.008535,-6.336171287,3.504935394,-11.10344289,8.0968024,-1.629363386,3.233719507,-3.233719507,9.726165786,0.102815343,0.537560935,2.78503096,0.1294,0.1596,0.1312,-0.0598,0.3622,0.4466,0.367,0.08582,0.36051,5.301029996,CCNC1=NC(=NC(=N1)Cl)NC(C)C
-406.705761,-406.638653,-406.403569,-5.978423192,4.011284869,-12.66602953,8.223063232,-1.826101708,3.198480762,-3.198480762,10.04916494,0.099510844,0.509016191,3.142779054,0.1388,0.1289,0.1059,-0.0927,0.376,0.3491,0.2869,0.06563,0.43637,8.544068044,C1=CC(=CC=C1O)F
-436.757211,-436.767414,-436.397385,-7.633555761,1.886048392,-12.88249611,9.791391479,0.277610562,5.034487415,-5.034487415,9.513780916,0.105110816,1.332078991,1.487646486,0.1232,0.1674,0.1292,-0.0697,0.3524,0.4788,0.3695,0.22298,0.18327,3.698970004,C1=CC=C(C=C1)[N+](=O)[O-]
-731.693611,-731.639684,-731.430389,-5.599450216,3.017171296,-9.742465406,7.16263551,-1.467428426,2.847589936,-2.847589936,8.630063937,0.115874141,0.469804584,3.521752031,0.072,0.0652,0.0592,-0.0421,0.2271,0.2055,0.1867,0.03062,0.25362,6.902546779,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
-366.226285,-366.141654,-365.966252,-5.150353498,4.322256591,-11.30605887,7.0758584,-2.302926829,2.386465785,-2.386465785,9.378785229,0.106623638,0.303624648,3.970848749,0.1428,0.1224,0.0891,-0.1276,0.4143,0.3552,0.2586,0.03717,0.56699,7.556302501,CN(C)C1=CC=CC=C1
-306.495066,-306.451789,-306.137439,-7.306610955,3.496690344,-13.63608824,9.731526429,-1.177627163,4.276949633,-4.276949633,10.90915359,0.09166626,0.83838281,1.814591292,0.1876,0.1724,0.1669,-0.0681,0.4679,0.4301,0.4162,0.14455,0.34035,3.51851394,C/C=C/C(=O)O
-196.546446,-196.433222,-196.204889,-6.782383599,5.411936554,-13.64542175,9.294212241,-3.080981996,3.106615122,-3.106615122,12.37519424,0.080806835,0.389939165,2.338818648,0.2483,0.2344,0.2413,-0.0139,0.546,0.5154,0.5307,0.09139,0.58076,3.0,CCCC=C
-637.686028,-637.646149,-637.393332,-5.927129729,3.159677325,-12.05409988,7.964663909,-1.085162872,3.439736913,-3.439736913,9.049799569,0.110499552,0.653699132,3.194072518,0.1558,0.1508,0.1293,-0.0698,0.4685,0.4535,0.3887,0.0986,0.49771,8.079181246,C12=C(NC(=O)N1)NC(=O)NC2=O
-630.028277,-629.969422,-629.743447,-5.905415043,3.380552147,-10.870459,7.750619144,-1.601498926,3.074560109,-3.074560109,9.352118071,0.106927555,0.505397077,3.215787204,0.1044,0.0929,0.0783,-0.0813,0.3038,0.2704,0.2279,0.04696,0.33572,7.716003344,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O
-664.93237,-664.866877,-664.646754,-5.250083228,3.712558271,-11.31362364,7.772007294,-1.782182531,2.994912382,-2.994912382,9.554189825,0.104666002,0.469396413,3.871119019,0.601,0.1801,0.3906,-0.4209,1.7117,0.513,1.1124,0.08455,2.32658,6.602059991,C=CCNC(=S)N
-1175.695321,-1175.665933,-1175.408789,-6.073118817,2.369757994,-10.32291149,7.796932924,-0.799688219,3.498622352,-3.498622352,8.596621143,0.116324687,0.711931498,3.04808343,0.1124,0.071,0.08,-0.0649,0.3559,0.2248,0.2531,0.05056,0.34268,8.278753601,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N
-233.683483,-233.541038,-233.319396,-7.12551918,5.756024533,-14.16224761,9.907284773,-3.876098702,3.015593035,-3.015593035,13.78341069,0.07255099,0.329883635,1.995683067,0.3154,0.2148,0.2056,-0.2195,0.6227,0.4241,0.406,0.07087,0.62946,3.716003344,CCC(C)O
-271.574868,-271.493221,-271.260356,-6.402920818,4.334311235,-12.47582194,8.558307511,-2.221728053,3.168303335,-3.168303335,10.78006278,0.092763925,0.465586819,2.718281429,0.15,0.1256,0.1039,-0.0921,0.3785,0.3169,0.2623,0.05846,0.40765,3.591064607,CC1=CC=CC=C1
-302.421908,-302.348609,-302.104231,-6.391165499,4.202553703,-13.00257996,8.64445876,-1.9945674,3.324932074,-3.324932074,10.63902616,0.093993631,0.519546998,2.730036748,0.1733,0.2025,0.1879,-0.081,0.4433,0.5178,0.4806,0.10519,0.4732,7.531478917,C1=CNC=C1C#N
-1398.778709,-1398.745688,-1398.483456,-6.26182978,2.610442705,-11.57088008,8.034270635,-0.898547185,3.567848119,-3.567848119,8.93281782,0.111946704,0.712502937,2.859372467,0.1658,0.1094,0.1376,-0.0605,0.5051,0.3334,0.4193,0.07797,0.47416,4.851258349,CCC(=O)NC1=CC(=C(C=C1)Cl)Cl
-384.904698,-384.887027,-384.578384,-6.691334301,2.477406238,-12.01652095,8.879456291,-0.480852406,4.199315548,-4.199315548,9.360281486,0.106834285,0.941976558,2.429867946,0.2347,0.1465,0.1906,-0.0882,0.6823,0.4259,0.5541,0.13799,0.57032,3.431363764,CC(=O)C1=CC=CC=C1
-265.544431,-265.427168,-265.241418,-5.835726683,5.429487898,-13.36819214,8.245403781,-3.190888785,2.527257498,-2.527257498,11.43629257,0.087440933,0.279243246,3.285475564,0.162,0.1663,0.1631,-0.0719,0.3855,0.3957,0.388,0.04643,0.53236,8.079181246,CC1=CN=CN1
-511.980403,-511.984532,-511.648627,-6.93591024,2.031765365,-12.37138464,9.028084883,0.112355814,4.570206743,-4.570206743,8.915756281,0.112161099,1.171341332,2.185292007,0.1374,0.1688,0.1244,-0.0805,0.4194,0.5151,0.3798,0.1977,0.30026,6.21221,C1=CC(=CC=C1[N+](=O)[O-])O
-1992.517788,-1992.492662,-1992.229473,-6.281802938,2.196829634,-10.32340129,7.845450826,-0.683713291,3.580855162,-3.580855162,8.529164116,0.117244707,0.751687334,2.839399309,0.1275,0.0807,0.0978,-0.0593,0.4067,0.2574,0.3122,0.06064,0.36195,8.071882007,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl
-346.795381,-346.717619,-346.505873,-5.757766061,4.207016371,-12.15434663,7.877914009,-2.116011817,2.880951096,-2.880951096,9.993925827,0.100060834,0.415245754,3.363436186,0.1315,0.1229,0.1022,-0.0877,0.3581,0.3347,0.2781,0.05105,0.44239,6.86332,CC1=CC=C(C=C1)O
-2858.802013,-2858.735521,-2858.524945,-5.554116047,3.835989119,-11.42181611,7.539377153,-1.809312283,2.865032435,-2.865032435,9.348716647,0.10696662,0.439001294,3.5670862,0.2267,0.1202,0.1734,-0.1065,0.6598,0.3499,0.5048,0.05277,0.80855,6.851258349,C1=CC(=CC=C1N)Br
-461.120631,-461.088306,-460.848916,-5.533299336,2.711614639,-11.08110234,7.393741814,-0.87960806,3.257066877,-3.257066877,8.273349874,0.120870064,0.641127471,3.587902911,0.1012,0.0906,0.0883,-0.0432,0.3328,0.298,0.2904,0.0581,0.36304,5.0,C1=CC=C2C=C(C=CC2=C1)O
-838.043008,-837.991284,-837.759759,-5.927646746,3.069825328,-9.958170065,7.707597943,-1.407481742,3.150044495,-3.150044495,9.115079685,0.10970845,0.544309359,3.193555501,0.0925,0.098,0.0711,-0.0559,0.2761,0.2927,0.2122,0.05336,0.2954,7.278753601,C1=CC(=CC=C1C[C@@H](C(=O)O)NC(=O)CN)O
-1514.726037,-1514.706937,-1514.439461,-6.159868716,2.042296172,-10.27110101,7.798130225,-0.519737477,3.639196374,-3.639196374,8.317867702,0.120223276,0.796096316,2.961333531,0.1027,0.1125,0.0921,-0.0596,0.336,0.3679,0.3013,0.08954,0.30415,8.209515015,CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N
-382.697797,-382.612376,-382.409534,-5.653029436,4.481524835,-12.14335323,7.844035833,-2.324423825,2.759806004,-2.759806004,10.16845966,0.098343281,0.374510309,3.468172811,0.1296,0.1406,0.0995,-0.0741,0.3469,0.3764,0.2662,0.05267,0.44958,7.73239376,C1=CC=C(C(=C1)O)O
-213.810503,-213.658025,-213.494596,-5.989307747,5.923701095,-14.45847076,8.596267395,-4.149137752,2.223551216,-2.223551216,12.74543236,0.078459472,0.193962761,3.1318945,0.3105,0.1241,0.1826,-0.2559,0.663,0.265,0.3898,0.02408,0.97254,6.322219295,CCNCC
-403.137958,-403.071333,-402.872877,-5.284696111,3.698462773,-10.98523663,7.213221477,-1.812958609,2.700131434,-2.700131434,9.026180086,0.110788843,0.403871395,3.836506135,0.1274,0.112,0.0988,-0.0641,0.3841,0.3376,0.2979,0.04523,0.48874,4.0,CN1C=CC2=CC=CC=C21
